price,carat,clarity,cut,color,depth,table,x,y,z,date
1664,0.56,VS2,Ideal,F,62,56,5.27,5.31,3.28,3/11/2012
2173,0.71,SI2,Ideal,F,62.2,56,5.76,5.7,3.56,3/11/2012
4662,1.02,VS2,Premium,I,59.5,59,6.54,6.5,3.88,3/11/2012
14150,2.01,SI2,Very Good,H,63.2,57,8.02,7.97,5.05,3/11/2012
1842,0.53,VVS1,Ideal,H,61.2,56,5.25,5.27,3.22,3/11/2012
988,0.39,VS1,Ideal,D,61.8,54,4.69,4.73,2.91,3/11/2012
5113,1.06,SI1,Premium,G,61.5,59,6.57,6.53,4.03,3/11/2012
707,0.31,VVS2,Very Good,E,60.5,56,4.39,4.47,2.68,3/11/2012
593,0.3,VVS1,Premium,H,61.3,58,4.3,4.32,2.64,3/11/2012
1644,0.54,VS2,Good,D,60.9,60,5.28,5.36,3.24,3/11/2012
3182,0.73,VS2,Very Good,D,63.5,58,5.68,5.72,3.62,3/11/2012
2389,0.7,VVS1,Very Good,I,58.8,61,5.78,5.82,3.41,3/11/2012
447,0.34,SI2,Very Good,F,63,58,4.45,4.47,2.81,3/11/2012
6900,1.01,VS2,Premium,F,59.2,61,6.59,6.55,3.89,3/11/2012
5030,1,SI1,Very Good,F,63.8,56,6.25,6.29,4,3/11/2012
2947,0.82,VS2,Good,H,62.4,54,5.97,6.04,3.75,3/11/2012
4282,1.13,SI2,Very Good,F,62.3,59,6.65,6.68,4.15,3/11/2012
4444,1.24,SI2,Premium,H,62.3,58,6.84,6.8,4.25,3/11/2012
787,0.39,VS2,Premium,G,61.2,60,4.68,4.73,2.88,3/11/2012
4859,1,SI1,Good,G,61.9,61,6.36,6.4,3.95,3/11/2012
2081,0.68,VS2,Premium,G,61.6,59,5.65,5.64,3.48,3/11/2012
776,0.3,VS2,Premium,F,62.7,58,4.3,4.25,2.68,3/11/2012
5101,1.03,SI1,Premium,E,61.3,60,6.53,6.51,4,3/11/2012
596,0.34,VS2,Premium,G,61.2,58,4.46,4.5,2.74,3/11/2012
828,0.32,VS2,Ideal,F,61.3,57,4.4,4.37,2.69,3/11/2012
3167,0.71,VVS1,Ideal,G,62.1,56,5.72,5.84,3.59,3/11/2012
16231,2.01,SI2,Good,F,64.1,57,7.82,7.78,5,3/11/2012
4130,0.82,VVS2,Ideal,G,62.1,56,5.97,6.01,3.72,3/11/2012
2559,0.73,SI2,Ideal,E,60.9,57,5.8,5.83,3.54,3/11/2012
1401,0.52,VS2,Ideal,H,61.6,55,5.19,5.24,3.21,3/11/2012
1381,0.51,SI1,Premium,E,62.4,59,5.07,5.12,3.18,3/11/2012
2359,0.72,SI1,Ideal,H,61.7,54,5.77,5.81,3.57,3/11/2012
1600,0.52,SI1,Ideal,D,61.8,57,5.14,5.19,3.19,3/11/2012
538,0.36,SI1,Ideal,H,62.3,53,4.57,4.61,2.86,3/11/2012
791,0.41,SI1,Premium,D,59.6,59,4.82,4.85,2.88,3/11/2012
6181,1.05,VS2,Premium,G,61.8,58,6.59,6.52,4.05,3/11/2012
1554,0.52,VS2,Good,E,63.3,56,5.08,5.12,3.23,3/11/2012
2770,0.73,VS2,Premium,G,61.4,59,5.83,5.76,3.56,3/11/2012
3557,0.91,SI2,Ideal,G,61.8,56,6.21,6.24,3.85,3/11/2012
1002,0.33,VS1,Premium,E,61.6,58,4.45,4.41,2.73,3/11/2012
6133,1.04,VS2,Ideal,H,62.2,57,6.46,6.49,4.03,3/11/2012
4084,1.02,SI2,Very Good,I,62.6,56,6.41,6.44,4.02,3/11/2012
4398,1.02,SI2,Ideal,H,60.7,57,6.54,6.51,3.96,3/11/2012
4901,1,SI2,Very Good,F,62.6,59,6.34,6.38,3.98,3/11/2012
684,0.3,VVS2,Ideal,G,60.6,57,4.33,4.35,2.63,3/11/2012
2321,0.53,VS1,Premium,D,61.3,58,5.27,5.2,3.21,3/11/2012
7473,1.11,VS2,Ideal,F,61.7,55,6.65,6.67,4.11,3/11/2012
1441,0.4,VVS1,Ideal,D,60.3,57,4.81,4.78,2.89,3/11/2012
2972,0.81,SI1,Very Good,E,63.8,58,5.85,5.97,3.77,3/11/2012
4405,1.05,SI1,Ideal,J,61.5,55,6.53,6.57,4.03,3/11/2012
1175,0.55,SI2,Ideal,F,62.3,57,5.22,5.27,3.27,3/11/2012
485,0.24,VVS2,Very Good,D,58.7,61,4.04,4.07,2.38,3/11/2012
2098,0.71,SI2,Very Good,F,63.6,56,5.58,5.67,3.58,3/11/2012
1546,0.51,VS2,Ideal,G,62.7,57,5.12,5.05,3.19,3/19/2012
6213,1.07,VS2,Premium,G,61.9,60,6.55,6.48,4.03,3/19/2012
1009,0.31,VVS2,Very Good,D,60.5,56,4.38,4.41,2.66,3/19/2012
1267,0.52,SI1,Very Good,F,62.6,58,5.11,5.14,3.21,3/19/2012
8645,1.5,SI2,Premium,H,62.3,60,7.3,7.22,4.52,3/19/2012
2348,0.91,SI1,Good,I,64,58,6.01,5.99,3.84,3/19/2012
7631,1.54,SI2,Premium,I,61.2,58,7.51,7.43,4.57,3/19/2012
1980,0.55,VVS1,Premium,H,61.1,57,5.35,5.26,3.24,3/19/2012
362,0.26,SI2,Ideal,H,62.5,53,4.09,4.13,2.57,3/19/2012
2516,0.71,SI1,Very Good,E,63.2,57,5.72,5.67,3.6,3/19/2012
1100,0.51,SI2,Very Good,G,63.2,57,5.07,5.03,3.19,3/19/2012
474,0.26,SI1,Ideal,H,60.5,58,4.16,4.17,2.52,3/19/2012
2675,0.52,VVS2,Ideal,E,61.3,56,5.18,5.2,3.18,3/19/2012
5986,1.2,VS2,Very Good,I,62.1,60,6.78,6.72,4.19,3/19/2012
631,0.36,SI1,Very Good,E,62.9,56,4.52,4.57,2.86,3/19/2012
1060,0.31,IF,Ideal,E,61.9,56,4.35,4.37,2.7,3/19/2012
6108,1.01,VS2,Ideal,G,61.8,56,6.45,6.42,3.98,3/19/2012
743,0.33,SI1,Ideal,E,62.5,55,4.45,4.42,2.77,3/19/2012
2562,0.72,SI1,Very Good,E,62,57,5.73,5.76,3.56,3/19/2012
616,0.37,SI1,Very Good,F,62.3,59,4.57,4.61,2.86,3/19/2012
693,0.33,SI1,Very Good,E,63.1,56,4.45,4.42,2.8,3/19/2012
642,0.28,VVS2,Very Good,F,59.7,59,4.26,4.28,2.55,3/19/2012
9123,1.24,VS1,Ideal,G,60.1,58,7.03,6.97,4.21,3/19/2012
4135,0.9,VS2,Very Good,G,63.4,59,6.08,6.13,3.87,3/19/2012
4744,1.2,SI2,Ideal,J,63.3,54,6.78,6.72,4.27,3/19/2012
5038,1.02,SI1,Very Good,F,62.1,63,6.48,6.36,3.99,3/19/2012
3550,0.72,SI1,Ideal,D,60.5,56,5.79,5.84,3.52,3/19/2012
2042,0.7,VVS1,Very Good,J,63.3,55,5.63,5.68,3.58,3/19/2012
1975,0.55,VS1,Premium,D,62,58,5.26,5.28,3.27,3/19/2012
2035,1,I1,Fair,I,64.5,58,6.33,6.1,4.01,3/19/2012
1793,0.61,SI1,Good,E,61.3,61,5.4,5.44,3.32,3/19/2012
4286,0.9,SI1,Very Good,E,62.9,56,6.09,6.12,3.84,3/19/2012
5540,1.21,VS1,Premium,I,61.2,59,6.86,6.84,4.19,3/19/2012
4312,1,SI2,Very Good,E,60.6,61,6.39,6.44,3.89,3/19/2012
521,0.33,VS2,Very Good,H,62.2,57,4.42,4.46,2.76,3/19/2012
844,0.3,VS2,Ideal,E,62,55,4.35,4.3,2.68,3/19/2012
6169,1.02,VS2,Premium,G,62.7,58,6.45,6.4,4.03,3/19/2012
12342,1.52,SI1,Premium,D,58.4,60,7.57,7.52,4.41,3/19/2012
4488,1.06,SI1,Good,F,57,64,6.8,6.71,3.85,3/19/2012
1328,0.53,SI1,Good,E,57.8,57,5.33,5.29,3.07,3/19/2012
1569,0.5,VS1,Very Good,G,62.9,58,5.06,5.08,3.19,3/19/2012
500,0.31,VS2,Very Good,F,62.7,57,4.31,4.36,2.72,3/19/2012
4155,0.9,VS2,Very Good,H,62,57,6.1,6.16,3.8,3/19/2012
4708,1.14,SI1,Ideal,J,61.7,54,6.71,6.74,4.15,3/19/2012
5215,1.01,SI1,Ideal,F,59.9,60,6.59,6.53,3.93,3/19/2012
5921,1.32,SI2,Premium,I,58.4,60,7.24,7.15,4.2,3/19/2012
544,0.31,VS2,Premium,G,61.2,58,4.32,4.37,2.66,3/19/2012
5530,0.91,VS1,Very Good,E,61.8,60,6.17,6.2,3.82,3/19/2012
5804,1,SI1,Ideal,D,61.9,57,6.39,6.41,3.96,3/19/2012
1422,0.43,VVS1,Premium,F,61.5,56,4.9,4.86,3,3/19/2012
2079,0.52,VVS2,Very Good,F,61.5,57,5.18,5.22,3.19,3/19/2012
8098,1.04,VVS2,Premium,G,61.8,58,6.51,6.47,4.01,3/19/2012
2531,0.71,SI1,Very Good,E,63,58,5.68,5.72,3.59,3/19/2012
6244,1.01,VS2,Premium,F,61.5,58,6.41,6.46,3.96,3/19/2012
1036,0.51,SI2,Premium,F,62.8,60,5.1,5.03,3.18,3/19/2012
16389,2.04,SI2,Very Good,G,59.9,58,8.26,8.31,4.96,3/19/2012
1752,0.5,VS2,Very Good,D,62.9,61,4.96,5.03,3.14,3/19/2012
675,0.3,SI1,Good,E,63.7,58,4.27,4.24,2.71,3/19/2012
7916,1.19,VS2,Ideal,D,60.4,56,6.87,6.93,4.17,3/19/2012
10937,1.55,SI2,Ideal,F,61.9,55,7.44,7.4,4.6,3/19/2012
3092,0.7,VS2,Ideal,D,62.3,55,5.67,5.7,3.54,3/19/2012
1736,0.46,VVS1,Premium,F,61.4,57,4.99,4.95,3.05,3/19/2012
6610,1.03,SI1,Ideal,D,61.3,56,6.48,6.54,3.99,3/19/2012
830,0.41,VS1,Premium,J,62,55,4.77,4.74,2.95,3/19/2012
9569,1.51,VS1,Good,I,62,56,7.23,7.29,4.5,3/19/2012
1207,0.43,VVS1,Premium,G,62,59,4.8,4.82,2.98,3/19/2012
645,0.32,VS2,Ideal,F,61.1,57,4.4,4.44,2.7,3/19/2012
945,0.3,VVS2,Premium,F,62.4,58,4.28,4.25,2.66,3/19/2012
1712,0.56,VS1,Very Good,F,62,59,5.3,5.34,3.3,3/19/2012
2124,0.59,SI1,Very Good,F,63.1,57,5.39,5.36,3.39,3/19/2012
1214,0.5,SI1,Good,F,59.6,61,5.12,5.19,3.07,3/19/2012
3145,0.9,SI1,Fair,G,65.6,56,6.1,6.03,3.98,3/19/2012
10572,1.86,SI2,Premium,G,62.5,60,7.9,7.8,4.91,3/19/2012
2668,0.76,VS2,Ideal,H,62.7,57,5.82,5.86,3.66,3/19/2012
11156,2,SI2,Fair,G,65.1,54,7.88,7.82,5.11,3/19/2012
4432,0.9,VS2,Good,F,63.3,57,6.11,6.15,3.88,3/19/2012
1268,0.53,SI1,Good,F,63.8,56,5.13,5.16,3.28,3/19/2012
698,0.31,VS1,Premium,H,61.5,61,4.34,4.31,2.66,3/19/2012
572,0.33,SI1,Good,I,63.6,57,4.42,4.39,2.8,3/19/2012
816,0.31,VVS2,Ideal,E,61.6,55,4.35,4.38,2.69,3/19/2012
11007,1.5,VS1,Premium,H,61.1,58,7.46,7.37,4.53,3/19/2012
5799,1.09,SI1,Premium,D,61.6,58,6.61,6.57,4.06,3/19/2012
5599,1.01,SI1,Ideal,E,62.6,57,6.43,6.38,4.01,3/19/2012
7404,1.13,VS1,Ideal,G,61.7,54,6.77,6.71,4.16,3/19/2012
7025,1.05,VS2,Premium,F,62.6,58,6.47,6.5,4.06,3/19/2012
422,0.3,SI2,Very Good,H,63.4,55,4.26,4.22,2.69,3/19/2012
4784,1.09,SI1,Ideal,H,62.2,56,6.56,6.59,4.09,3/19/2012
868,0.33,VVS1,Premium,G,60.9,58,4.43,4.47,2.71,3/19/2012
3607,1.13,I1,Ideal,F,62.2,55,6.68,6.63,4.14,3/19/2012
14502,2.01,SI1,Premium,F,59.5,58,8.21,8.18,4.88,3/19/2012
4592,0.9,VS1,Ideal,H,61.6,56,6.17,6.13,3.79,3/19/2012
3050,0.81,SI2,Ideal,E,62.1,57,5.97,5.91,3.69,3/19/2012
2319,0.7,SI1,Premium,F,61.9,58,5.69,5.65,3.51,3/19/2012
5217,1.23,VS2,Ideal,J,61.5,57,6.9,6.95,4.26,3/19/2012
1079,0.5,SI2,Ideal,F,61.6,54,5.09,5.14,3.15,3/19/2012
590,0.35,SI1,Very Good,F,61,55,4.6,4.63,2.81,3/19/2012
4443,1.02,SI1,Good,E,63.1,57,6.37,6.43,4.04,3/19/2012
3218,0.52,VVS1,Ideal,D,62,57,5.15,5.17,3.2,3/19/2012
1178,0.47,VS2,Very Good,H,57.2,60,5.18,5.21,2.97,3/19/2012
9576,1.52,SI2,Ideal,E,60.1,57,7.53,7.49,4.51,3/19/2012
2326,0.71,VS1,Very Good,I,62.3,60,5.69,5.73,3.56,3/19/2012
12196,1.5,VS2,Very Good,G,61.2,61,7.29,7.34,4.48,3/19/2012
1874,0.7,VS2,Ideal,J,61.8,53,5.73,5.76,3.55,3/19/2012
6810,1.1,VS2,Very Good,F,61.4,58,6.63,6.73,4.1,3/19/2012
6419,1.25,VS2,Ideal,I,62.5,56,6.87,6.92,4.31,3/19/2012
5359,1.1,SI2,Ideal,E,61.6,56,6.66,6.63,4.09,3/19/2012
2866,0.96,SI1,Premium,I,61.3,58,6.39,6.3,3.89,3/19/2012
931,0.4,VVS2,Ideal,G,62.6,57,4.68,4.75,2.95,3/19/2012
612,0.3,VS1,Ideal,F,61.5,55,4.31,4.34,2.66,3/19/2012
971,0.37,VVS2,Premium,D,60.7,59,4.63,4.66,2.82,3/19/2012
765,0.34,SI1,Premium,E,60.3,57,4.56,4.53,2.74,3/19/2012
2137,0.6,VS2,Ideal,E,62.3,53.8,5.41,5.45,3.38,3/19/2012
2107,0.7,SI2,Premium,F,61.7,62,5.69,5.65,3.5,3/19/2012
12823,1.52,SI1,Premium,D,59.5,61,7.5,7.43,4.44,3/19/2012
3824,1.03,SI2,Premium,G,63,60,6.39,6.35,4.01,3/19/2012
8442,1.2,VS1,Ideal,G,62.3,56,6.77,6.82,4.23,3/19/2012
2059,0.73,SI2,Ideal,E,59.9,57,5.87,5.82,3.5,3/19/2012
698,0.31,VS2,Premium,G,62.4,59,4.38,4.34,2.72,3/19/2012
593,0.31,SI1,Ideal,G,62.2,55,4.38,4.36,2.72,3/19/2012
8396,1.51,SI1,Ideal,I,59.4,61,7.52,7.46,4.45,4/6/2012
1597,0.58,SI1,Ideal,D,62,54,5.36,5.39,3.33,4/6/2012
928,0.33,VS2,Premium,E,61.7,60,4.45,4.4,2.73,4/6/2012
4047,0.72,VS1,Ideal,D,61.7,56,5.77,5.81,3.57,4/6/2012
